id_funcionario;id_unidade;nome;cargo;departamento;salario;data_admissao
28;3;Ana Silva;Analista Financeiro;Financeiro;5498.0;2018-08-24
29;3;Kleber Pires;Cozinheiro;Alimentos e Bebidas;3033.0;2021-07-17
30;3;Fernanda Cruz;Manutenção;Manutenção;1949.0;2019-06-28
31;3;Xuxa Farias;Camareira;Governança;1757.0;2022-09-23
32;3;Gabriela Lima;Auxiliar de Limpeza;Governança;1538.0;2020-08-28
33;4;Victor Gomes;Auxiliar de Limpeza;Governança;1840.0;2023-05-24
34;4;Ursula Pinto;Manutenção;Manutenção;2417.0;2020-06-14
35;4;Sara Teixeira;Segurança;Segurança;2452.0;2022-03-15
36;4;Yuri Castro;Segurança;Segurança;1987.0;2018-08-06
37;4;Larissa Sousa;Cozinheiro;Alimentos e Bebidas;;2019-09-29
38;4;Carlos Neto;Cozinheiro;Alimentos e Bebidas;2798.0;2020-05-01
39;4;Isabela Martins;Auxiliar de Limpeza;Governança;2048.0;2020-03-04
40;4;Elena Santos;Analista Financeiro;Financeiro;5659.0;2019-03-28
41;4;Ivan Azevedo;Analista Financeiro;Financeiro;5237.0;2018-11-24
42;4;Gabriela Lima;Camareira ;Governança;2287.0;2024-06-03
43;4;Wilson Duarte;Analista Financeiro;Financeiro;;2022-01-07
44;4;Gustavo Vieira;Cozinheiro;Alimentos e Bebidas;3264.0;2019-12-03
45;4;Zara Moraes;Segurança;Segurança;2174.0;2021-01-19
46;5;Gabriela Lima;Auxiliar de Limpeza;Governança;1702.0;2023-05-01
47;5;Thiago Matos;Segurança;Segurança;2051.0;2019-07-31
48;5;Carlos Neto;Camareira;Governança;2239.0;2023-08-18
49;5;Victor Gomes;Recepcionista;Recepção;2563.0;2022-03-08
50;5;Julia Monteiro;Gerente;Administração;8363.0;2020-05-17
51;5;Lucas Souza;Gerente;Administração;8855.0;2022-09-15
52;5;Larissa Sousa;Auxiliar de Limpeza;Governança;1839.0;2024-03-20
53;5;Ivan Azevedo;Camareira;Governança;1691.0;2019-06-07
54;6;Natalia Campos;Analista Financeiro;Financeiro;5601.0;2022-12-26
55;6;Natalia Campos;Manutenção;Manutenção;2404.0;2021-06-30
56;6;Lucas Souza;Camareira;Governança;1882.0;2023-05-17
57;6;Beatriz Dias;Analista Financeiro;Financeiro;5390.0;2022-12-23
58;6;Fernanda Cruz;Gerente;Administração;8495.0;2024-04-26
59;6;Ana Silva;Segurança;Segurança;2196.0;2019-04-02
60;6;Abel Correia;Auxiliar de Limpeza;Governança;2101.0;2023-01-16
61;6;Kleber Pires;Camareira;Governança;1531.0;2022-05-26
62;6;Karen Alves;Manutenção;Manutenção;2599.0;2018-10-03
63;6;Kleber Pires;Camareira ;Governança;1616.0;2018-11-03
64;6;Wilson Duarte;Recepcionista;Recepção;2636.0;2022-02-22
65;6;Carla Mendes;Manutenção ;Manutenção;2260.0;2023-08-09
66;6;Nicolas Cunha;Cozinheiro;Alimentos e Bebidas;3255.0;2020-02-13
67;7;Nicolas Cunha;Gerente;Administração;8411.0;2018-03-24
68;7;Ursula Pinto;Gerente;Administração;8920.0;2019-02-24
69;7;Isabela Martins;Camareira;Governança;2268.0;2023-07-01
70;7;Paulo Ribeiro;Gerente;Administração;8349.0;2020-07-07
71;7;João Pereira;Auxiliar de Limpeza;Governança;1991.0;2024-01-27
72;7;Zara Moraes;Camareira;Governança;2027.0;2019-10-27
73;7;Ursula Pinto;Auxiliar de Limpeza;Governança;1995.0;2019-10-12
74;7;Elena Santos;Segurança;Segurança;2247.0;2019-05-16
75;7;Ursula Pinto;Manutenção;Manutenção;2090.0;2019-06-24
76;7;Roberta Leite;Segurança;Segurança;2480.0;2019-10-07
77;8;Karen Alves;Camareira;Governança;1951.0;2023-06-10
78;8;Karen Alves;Manutenção;Manutenção;2080.0;2023-01-24
79;8;Zara Moraes;Recepcionista;Recepção;2540.0;2023-11-24
80;8;Ana Silva;Camareira;Governança;1718.0;2019-12-06
81;8;Ana Silva;Recepcionista;Recepção;2612.0;2023-06-09
82;8;Elena Santos;Auxiliar de Limpeza;Governança;1634.0;2021-05-28
83;8;Thiago Matos;Segurança;Segurança;1840.0;2023-04-26
84;8;Helena Borges;Camareira;Governança;2076.0;2022-07-13
85;9;Natalia Campos;Analista Financeiro;Financeiro;5903.0;2023-05-08
86;9;Larissa Sousa;Camareira;Governança;2247.0;2023-05-09
87;9;Rafael Cardoso;Cozinheiro;Alimentos e Bebidas;3160.0;2021-09-21
88;9;Quincy Braga;Recepcionista;Recepção;2208.0;2020-07-11
89;9;Patricia Vaz;Manutenção;Manutenção;1855.0;2020-08-04
90;9;Paulo Ribeiro;Camareira;Governança;2011.0;2024-10-13
91;9;Ursula Pinto;Segurança;Segurança;1835.0;2018-10-17
92;9;Wilson Duarte;Gerente;Administração;;2024-02-29
93;9;Quezia Nunes;Recepcionista;Recepção;2120.0;2019-03-28
94;9;Otavio Reis;Manutenção;Manutenção;2529.0;2023-12-30
95;10;Felipe Oliveira;Manutenção;Manutenção;2117.0;2023-03-06
96;10;Zara Moraes;Segurança;Segurança;2300.0;2024-03-06
97;10;Samuel Fonseca;Manutenção;Manutenção;2247.0;2023-12-14
98;10;Henrique Rocha;Analista Financeiro;Financeiro;5664.0;2022-12-13
99;10;Ana Silva;Camareira;Governança;2224.0;2021-01-11
100;10;Karen Alves;Manutenção;Manutenção;2180.0;2023-08-06
101;10;Victor Gomes;Recepcionista ;Recepção;2339.0;2018-06-15
102;10;Fernanda Cruz;Camareira;Governança;1966.0;2023-01-18
103;10;Karen Alves;Segurança;Segurança;1961.0;2023-08-17
104;10;Vanessa Cavalcanti;Cozinheiro;Alimentos e Bebidas;;2024-05-27
105;11;Yuri Castro;Segurança;Segurança;1853.0;2020-03-20
106;11;Ursula Pinto;Cozinheiro;Alimentos e Bebidas;2754.0;2024-01-17
107;11;Henrique Rocha;Segurança;Segurança;2214.0;2019-02-19
108;11;Zara Moraes;Recepcionista;Recepção;1970.0;2021-06-08
109;11;Felipe Oliveira;Segurança;Segurança;2266.0;2021-07-06
110;11;Daniela Ramos;Cozinheiro;Alimentos e Bebidas;2877.0;2022-09-23
111;11;João Pereira;Cozinheiro;Alimentos e Bebidas;2506.0;2024-10-23
112;11;Ana Silva;Segurança;Segurança;2477.0;2023-10-03
113;11;Helena Borges;Cozinheiro;Alimentos e Bebidas;2743.0;2023-04-28
114;11;Felipe Oliveira;Manutenção;Manutenção;1844.0;2020-09-28
115;11;Vanessa Cavalcanti;Auxiliar de Limpeza;Governança;1486.0;2020-06-30
116;11;Larissa Sousa;Camareira;Governança;2081.0;2021-08-25
117;11;Ursula Pinto;Manutenção;Manutenção;2202.0;2021-11-14
118;11;Elena Santos;Cozinheiro;Alimentos e Bebidas;2707.0;2023-09-26
119;11;Carlos Neto;Gerente;Administração;8677.0;2022-08-04
120;12;Daniela Ramos;Manutenção;Manutenção;2071.0;2021-07-04
121;12;Nicolas Cunha;Recepcionista;Recepção;2235.0;2020-06-22
122;12;Roberta Leite;Recepcionista ;Recepção;2206.0;2020-05-20
123;12;Julia Monteiro;Auxiliar de Limpeza;Governança;2166.0;2023-05-09
124;12;Ana Silva;Camareira;Governança;1563.0;2020-06-05
125;12;Roberta Leite;Segurança;Segurança;2345.0;2024-01-29
126;12;Elena Santos;Recepcionista;Recepção;2102.0;2021-03-14
127;12;Carla Mendes;Camareira;Governança;1972.0;2020-06-28
128;12;Bruno Costa;Auxiliar de Limpeza;Governança;1791.0;2022-10-27
129;12;Rafael Cardoso;Manutenção;Manutenção;2256.0;2022-03-01
130;12;Fernanda Cruz;Manutenção;Manutenção;2221.0;2020-08-16
131;12;Abel Correia;Gerente;Administração;8404.0;2018-10-28
132;12;Yuri Castro;Recepcionista;Recepção;2700.0;2021-01-22
133;12;Yuri Castro;Segurança;Segurança;1976.0;2021-10-08
134;12;Eduardo Lopes;Recepcionista;Recepção;2442.0;2023-02-17
